【央视】,#genre#
青岛莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
日照五莲新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001068/index.m3u8
德州夏津综合,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
德州夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
泰安宁阳-1,http://150.138.8.143/00/SNM/CHANNEL00001071/index.m3u8
泰安宁阳-2,http://150.138.8.143/00/SNM/CHANNEL00001072/index.m3u8
济宁梁山新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
烟台牟平新闻,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
烟台牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8
菏泽单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
德州陵城新闻,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8
潍坊昌邑新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8
