【山东移动】,#genre#
黑龙江卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.93:8000
东南卫视高清,http://www.xuweihome.vip:2222/udp/239.253.248.105:8000
旅游卫视,http://www.xuweihome.vip:2222/udp/239.253.248.35:8000
重庆卫视,http://www.xuweihome.vip:2222/udp/239.253.248.38:8000
广西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.40:8000
云南卫视,http://www.xuweihome.vip:2222/udp/239.253.248.42:8000
河南卫视,http://www.xuweihome.vip:2222/udp/239.253.248.44:8000
吉林卫视,http://www.xuweihome.vip:2222/udp/239.253.248.46:8000
江西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.47:8000
山西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.48:8000
陕西卫视,http://www.xuweihome.vip:2222/udp/239.253.248.49:8000
四川卫视,http://www.xuweihome.vip:2222/udp/239.253.248.50:8000
甘肃卫视,http://www.xuweihome.vip:2222/udp/239.253.248.52:8000
宁夏卫视,http://www.xuweihome.vip:2222/udp/239.253.248.53:8000
青海卫视,http://www.xuweihome.vip:2222/udp/239.253.248.54:8000
西藏卫视,http://www.xuweihome.vip:2222/udp/239.253.248.56:8000
兵团卫视,http://www.xuweihome.vip:2222/udp/239.253.248.57:8000
内蒙古卫视,http://www.xuweihome.vip:2222/udp/239.253.248.58:8000
山东教育卫视,http://www.xuweihome.vip:2222/udp/239.253.248.59:8000
新疆卫视,http://www.xuweihome.vip:2222/udp/239.253.248.60:8000
农林卫视,http://www.xuweihome.vip:2222/udp/239.253.248.70:8000
河北卫视,http://www.xuweihome.vip:2222/udp/239.253.248.112:8000
贵州卫视,http://www.xuweihome.vip:2222/udp/239.253.248.113:8000
厦门卫视,http://www.xuweihome.vip:2222/udp/239.253.248.106:8000
齐鲁频道,http://www.xuweihome.vip:2222/udp/239.253.248.18:8000
山东影视,http://www.xuweihome.vip:2222/udp/239.253.248.19:8000
山东生活,http://www.xuweihome.vip:2222/udp/239.253.248.20:8000
山东综艺,http://www.xuweihome.vip:2222/udp/239.253.248.21:8000
山东体育,http://www.xuweihome.vip:2222/udp/239.253.248.22:8000
山东公共,http://www.xuweihome.vip:2222/udp/239.253.248.23:8000
山东农科,http://www.xuweihome.vip:2222/udp/239.253.248.24:8000
山东少儿,http://www.xuweihome.vip:2222/udp/239.253.248.25:8000
山东国际,http://www.xuweihome.vip:2222/udp/239.253.248.26:8000
山东居家购物,http://www.xuweihome.vip:2222/udp/239.253.248.104:8000
烟台经济科技,http://www.xuweihome.vip:2222/udp/239.253.248.249:8000
烟台影视,http://www.xuweihome.vip:2222/udp/239.253.248.250:8000
莱州,http://www.xuweihome.vip:2222/udp/239.253.248.251:8000
烟台公共,http://www.xuweihome.vip:2222/udp/239.253.248.252:8000
烟台新闻,http://www.xuweihome.vip:2222/udp/239.253.248.254:8000
早教,http://www.xuweihome.vip:2222/udp/239.253.248.217:8000
北京卡酷少儿,http://www.xuweihome.vip:2222/udp/239.253.248.61:8000
金鹰卡通,http://www.xuweihome.vip:2222/udp/239.253.248.62:8000
炫动卡通,http://www.xuweihome.vip:2222/udp/239.253.248.63:8000
优漫卡通,http://www.xuweihome.vip:2222/udp/239.253.248.64:8000
嘉佳卡通,http://www.xuweihome.vip:2222/udp/239.253.248.65:8000
熊猫频道高清,http://www.xuweihome.vip:2222/udp/239.253.248.69:8000
少儿动画,http://www.xuweihome.vip:2222/udp/239.253.248.127:8000
新动漫,http://www.xuweihome.vip:2222/udp/239.253.248.157:8000
